user_id,sessions_date,device,,,,,,,,,,,,,,,,,,,,,Mobile
1498,2025-08-01,Mobile,,,,,,,,,,,,,,,,,,,,,Desktop
1956,2025-11-13,Tablet,,,,,,,,,,,,,,,,,,,,,Tablet
227,2025-03-20,Tablet,,,,,,,,,,,,,,,,,,,,,
1629,2025-06-25,Mobile,,,,,,,,,,,,,,,,,,,,,
1833,2025-08-15,Tablet,,,,,,,,,,,,,,,,,,,,,
4864,2025-08-15,Mobile,,,,,,,,,,,,,,,,,,,,,
3684,2025-03-24,Mobile,,,,,,,,,,,,,,,,,,,,,
2616,2025-12-01,Mobile,,,,,,,,,,,,,,,,,,,,,
1930,2025-12-26,Desktop,,,,,,,,,,,,,,,,,,,,,
1935,2025-06-24,Mobile,,,,,,,,,,,,,,,,,,,,,
2937,2025-01-13,Desktop,,,,,,,,,,,,,,,,,,,,,
4389,2025-09-11,Mobile,,,,,,,,,,,,,,,,,,,,,
872,2025-04-05,Desktop,,,,,,,,,,,,,,,,,,,,,
4138,2025-03-22,Tablet,,,,,,,,,,,,,,,,,,,,,
761,2025-09-19,Mobile,,,,,,,,,,,,,,,,,,,,,
4808,2025-05-22,Desktop,,,,,,,,,,,,,,,,,,,,,
988,2025-04-13,Tablet,,,,,,,,,,,,,,,,,,,,,
4002,2025-08-17,Mobile,,,,,,,,,,,,,,,,,,,,,
820,2025-09-08,Tablet,,,,,,,,,,,,,,,,,,,,,
894,2025-08-18,Desktop,,,,,,,,,,,,,,,,,,,,,
1785,2025-01-20,Desktop,,,,,,,,,,,,,,,,,,,,,
3301,2025-03-22,Tablet,,,,,,,,,,,,,,,,,,,,,
3819,2025-10-11,Tablet,,,,,,,,,,,,,,,,,,,,,
2936,2025-03-26,Desktop,,,,,,,,,,,,,,,,,,,,,
532,2025-09-19,Desktop,,,,,,,,,,,,,,,,,,,,,
1179,2025-11-20,Tablet,,,,,,,,,,,,,,,,,,,,,
1776,2025-04-24,Tablet,,,,,,,,,,,,,,,,,,,,,
