user_id,signup_date,country,acquisition_channel
1,2025-11-18,USA,Facebook Ads
2,2025-09-19,USA,Facebook Ads
3,2025-09-14,Canada,Google Ads
4,2025-04-10,India,Google Ads
5,2025-04-17,UK,Organic
6,2025-12-21,USA,Google Ads
7,2025-02-27,UK,Facebook Ads
8,2025-07-29,India,Organic
9,2025-07-17,UK,Facebook Ads
10,2025-05-23,UK,Organic
11,2026-01-31,Canada,Referral
12,2025-12-20,Canada,Organic
13,2025-12-29,Canada,Google Ads
14,2026-01-09,USA,Facebook Ads
15,2025-05-23,UK,Facebook Ads
16,2025-06-01,UK,Referral
17,2026-01-10,Canada,Organic
18,2025-09-02,Canada,Referral
19,2025-04-12,Canada,Organic
20,2026-01-05,Canada,Referral
21,2025-08-29,UK,Referral
22,2026-01-02,India,Referral
23,2025-12-25,UK,Organic
24,2025-02-28,USA,Referral
25,2025-07-12,USA,Facebook Ads
26,2026-01-10,Canada,Google Ads
27,2025-11-18,USA,Facebook Ads
28,2025-02-18,Canada,Organic
29,2025-10-29,India,Facebook Ads
30,2025-11-20,USA,Facebook Ads
31,2025-08-08,USA,Google Ads
32,2025-03-16,USA,Google Ads
33,2025-08-24,USA,Organic
34,2025-08-28,Canada,Referral
35,2025-12-12,India,Google Ads
36,2025-11-23,Canada,Organic
37,2025-08-12,UK,Google Ads
38,2025-04-29,USA,Organic
39,2025-03-05,USA,Referral
40,2025-08-01,UK,Google Ads
41,2025-05-03,UK,Facebook Ads
42,2025-09-02,USA,Organic
43,2025-12-28,USA,Facebook Ads
44,2025-07-23,UK,Organic
45,2025-11-16,Canada,Referral
46,2026-01-05,UK,Referral
47,2025-09-23,Canada,Organic
48,2025-07-04,USA,Facebook Ads
49,2025-03-30,India,Referral
50,2025-02-13,Canada,Facebook Ads
51,2025-09-08,UK,Google Ads
52,2025-06-29,USA,Organic
53,2025-11-18,UK,Facebook Ads
54,2025-11-15,Canada,Referral
55,2025-02-17,Canada,Organic
56,2025-07-09,India,Facebook Ads
57,2025-03-12,UK,Referral
58,2026-02-05,Canada,Organic
59,2025-11-07,USA,Facebook Ads
60,2025-11-26,Canada,Organic
61,2025-08-25,India,Referral
62,2025-11-16,USA,Google Ads
63,2025-08-21,India,Google Ads
64,2026-01-26,UK,Facebook Ads
65,2026-01-27,UK,Organic
66,2025-06-17,USA,Google Ads
67,2025-06-14,USA,Organic
68,2025-10-14,India,Organic
69,2025-03-29,India,Facebook Ads
70,2025-06-30,Canada,Google Ads
71,2025-12-21,USA,Facebook Ads
72,2025-08-27,USA,Facebook Ads
73,2025-09-03,Canada,Organic
74,2025-11-19,India,Referral
75,2025-12-06,USA,Organic
76,2025-06-25,Canada,Google Ads
77,2025-12-10,UK,Facebook Ads
78,2025-05-24,USA,Google Ads
79,2025-06-10,UK,Referral
80,2025-03-27,USA,Organic
81,2025-11-23,Canada,Referral
82,2025-06-18,USA,Google Ads
83,2025-03-23,UK,Google Ads
84,2025-05-06,Canada,Referral
85,2025-04-26,UK,Google Ads
86,2025-04-27,UK,Referral
87,2025-03-24,UK,Referral
88,2026-02-01,Canada,Organic
89,2026-02-11,Canada,Referral
90,2025-09-22,USA,Google Ads
91,2025-10-13,India,Facebook Ads
92,2025-07-18,UK,Referral
93,2026-01-01,Canada,Facebook Ads
94,2025-02-19,USA,Referral
95,2026-01-20,UK,Organic
96,2025-07-04,UK,Google Ads
97,2025-07-18,UK,Organic
98,2025-06-16,Canada,Referral
99,2025-03-12,India,Referral
100,2025-06-26,UK,Referral
101,2026-01-14,USA,Referral
102,2025-10-24,Canada,Referral
103,2025-09-21,Canada,Google Ads
104,2025-10-06,UK,Organic
105,2025-09-03,UK,Facebook Ads
106,2025-09-26,UK,Facebook Ads
107,2025-07-26,UK,Facebook Ads
108,2025-05-26,Canada,Google Ads
109,2025-03-14,Canada,Facebook Ads
110,2025-08-08,India,Organic
111,2025-12-24,UK,Organic
112,2025-12-27,USA,Referral
113,2026-01-11,UK,Referral
114,2025-12-20,USA,Organic
115,2025-07-22,USA,Facebook Ads
116,2025-09-04,UK,Organic
117,2026-01-10,UK,Google Ads
118,2025-08-22,Canada,Referral
119,2025-07-07,UK,Facebook Ads
120,2025-09-11,India,Google Ads
121,2026-01-09,Canada,Organic
122,2025-07-30,Canada,Facebook Ads
123,2025-09-09,India,Organic
124,2025-10-02,USA,Google Ads
125,2025-11-19,Canada,Organic
126,2025-11-27,USA,Referral
127,2025-09-09,India,Google Ads
128,2025-10-18,India,Organic
129,2025-10-29,UK,Organic
130,2025-03-20,Canada,Organic
131,2025-09-05,India,Facebook Ads
132,2025-10-24,UK,Google Ads
133,2025-06-04,UK,Google Ads
134,2025-07-20,Canada,Referral
135,2026-02-07,Canada,Google Ads
